Radio Frequency,Azimuth,Angle Of Elevation,Ground_Truth
5400,1.95215871,1.905637592,Emitter_2
5400,1.693987641,1.867688126,Emitter_2
5403.532478,1.923712788,1.953659067,Emitter_2
5400,0.120871524,0.184325527,Emitter_1
5410,0.036698456,0,Emitter_1
5400,1.994090612,1.702769753,Emitter_2
5405.293564,1.707474178,1.625600824,Emitter_2
5402.71158,1.927393599,1.888312277,Emitter_2
5400,2,2,Emitter_2
5400.545153,0.280238849,0,Emitter_1
5410,1.751478418,1.808838011,Emitter_2
5408.255384,0.517972416,0,Emitter_1
5400,2,1.707259929,Emitter_2
5409.354265,1.722329181,1.534521212,Emitter_2
5399.257399,0.009730506,0.116701035,Emitter_1
5400,0.377022621,0,Emitter_1
5400,0.252964438,0,Emitter_1
5408.859377,0.097897733,0.319621743,Emitter_1
5401.111067,1.876286788,1.572451765,Emitter_2
5410,1.905781261,1.844914236,Emitter_2
5400,2,1.394461448,Emitter_2
5410,1.744932519,1.574936365,Emitter_2
5407.122172,1.189550248,0.791792924,Noise
5406.125326,1.620080205,1.739909452,Emitter_2
5409.755566,1.933181686,1.944351895,Noise
5404.158294,1.491764543,1.893772947,Emitter_2
5407.234257,1.031440886,1.576026787,Noise
5400.440941,1.452155658,1.164725403,Noise
5409.847783,1.147638531,1.420321361,Noise
5400,0.022478668,0.02420144,Emitter_1
5408.165306,1.45343796,1.991081205,Noise
5400,1.590929258,1.736414478,Emitter_2
5408.696885,1.773619507,2,Emitter_2
5400,0.338572283,0.057520561,Emitter_1
5400,1.789044483,1.420582232,Emitter_2
5400,1.723817163,1.639739599,Emitter_2
5404.541007,1.647408561,1.502026439,Emitter_2
5408.360506,0.309763899,0.324432213,Emitter_1
5400,1.517489908,1.973077189,Emitter_2
5410,1.986910558,2,Emitter_2
5410.332226,1.691223018,1.911660344,Emitter_2
5410,1.619700726,1.820430887,Emitter_2
5400,1.907553257,1.710324572,Emitter_2
5400,1.497173444,1.856254088,Emitter_2
5402.268209,1.93997098,1.761033422,Emitter_2
5410,0.224160208,0.013829551,Emitter_1
5410,0.628515077,0.163888868,Emitter_1
5400,2,2,Emitter_2
5403.535768,1.748171767,1.751196259,Emitter_2
5401.917501,1.692966536,2.215876652,Emitter_2
5410,0.711328801,0.220342064,Emitter_1
5405.164571,0.158784581,0,Emitter_1
5400,1.932601135,1.637067135,Emitter_2
5400,1.861588631,1.73686233,Emitter_2
5400,2,1.793982756,Emitter_2
5404.474685,1.839505262,1.761684335,Emitter_2
5400,0,0.141930498,Emitter_1
5400,1.816255214,1.791930202,Emitter_2
5402.684989,2,1.643707954,Emitter_2
5400,1.670988682,2,Emitter_2
5408.503616,1.767380615,2,Emitter_2
5406.775312,1.505218963,1.357181877,Emitter_2
5402.547191,0.354734328,0.090655634,Noise
5400,1.691450129,1.921004628,Emitter_2
5403.6118,2,2,Emitter_2
5400,1.863417777,1.940248692,Emitter_2
5401.909877,1.44272673,1.652950904,Emitter_2
5407.637684,0.312098074,1.902131764,Noise
5404.705357,1.926152935,1.837264133,Emitter_2
5400.677728,1.798783502,1.993845704,Emitter_2
5410,1.859928016,2,Emitter_2
5400,1.947784677,1.786393668,Emitter_2
5400,1.448074029,1.91798555,Emitter_2
5410,1.572388363,1.592206752,Emitter_2
5400,1.748091831,1.619542539,Emitter_2
5400,0.285319202,0,Emitter_1
5402.769471,0.163921797,0.791944552,Noise
5410,0.176505062,0,Emitter_1
5410,2,1.74490126,Emitter_2
5406.886519,1.947433619,1.42459002,Noise
5408.642353,1.622409905,1.622735956,Emitter_2
5400,0.255131,0.022420021,Emitter_1
5400,0.37575535,0.030264365,Emitter_1
5398.137651,2.020980652,1.736875927,Emitter_2
5400,1.606808269,1.804841919,Emitter_2
5404.293853,1.800223263,1.57989661,Emitter_2
5400,0.152842474,0,Emitter_1
5409.521183,1.702384152,1.711087626,Emitter_2
5400,0.318731905,0,Emitter_1
5410,1.601554918,1.858464425,Emitter_2
5408.870046,1.981579803,1.981540398,Emitter_2
5400,1.976853722,1.96340608,Emitter_2
5400,1.591598076,1.877446521,Emitter_2
5400,1.804490641,1.794239511,Emitter_2
5400,1.745093706,1.734725207,Emitter_2
5400,1.504810824,1.834491349,Emitter_2
5400,1.408062247,2,Emitter_2
5400,1.517466661,1.498718798,Emitter_2
5410,1.925960457,1.488849358,Emitter_2
5402.051701,0.28570759,0.122818107,Emitter_1
5400,2,1.623491383,Emitter_2
5405.18295,1.711806959,0.268621201,Noise
5410,1.893628609,1.895732705,Emitter_2
5406.281761,2,1.455027325,Emitter_2
5403.14616,1.375090267,1.961511069,Emitter_2
5400,1.93101424,2,Emitter_2
5401.536772,1.704386767,1.844140408,Emitter_2
5410,1.997151273,1.942276316,Emitter_2
5400,1.906913824,1.714073305,Emitter_2
5400,1.97320074,1.770026177,Emitter_2
5405.478017,1.680915052,1.494552514,Emitter_2
5398.910296,1.846167076,1.986699577,Emitter_2
5410,1.749627787,1.910288321,Emitter_2
5403.043247,1.585484563,1.526619849,Noise
5400,2,1.319530949,Emitter_2
5400,0.262222226,0,Emitter_1
5400,1.966709664,2,Emitter_2
5400,0.160419209,0,Emitter_1
5410,1.953581384,2,Emitter_2
5400,2,1.593187868,Emitter_2
5409.057682,1.975497548,1.48198286,Emitter_2
5410,0.077803258,0.256905358,Emitter_1
5410,0.690573114,0,Emitter_1
5410,1.758196729,1.910281167,Emitter_2
5407.356643,1.868371267,1.245804093,Noise
5401.813587,0.265321515,0.161090732,Emitter_1
5403.019,1.789702518,1.435791939,Emitter_2
5400,1.706532643,2,Emitter_2
5410,1.690815878,1.851861147,Emitter_2
5402.42227,0.147069304,0,Emitter_1
5400,2,1.636373261,Emitter_2
5400,2,1.507325294,Emitter_2
5400,1.719332062,1.766301352,Emitter_2
5400,2,1.847549567,Emitter_2
5400,0.27908905,0.05035847,Emitter_1
5400,0.038878881,0.071136506,Emitter_1
5400,0.143246794,0,Emitter_1
5406.497272,0.075423482,0.645822936,Noise
5400,1.896604383,1.543462845,Emitter_2
5403.865841,1.830995884,1.675929047,Emitter_2
5403.047943,2,1.680539741,Emitter_2
5404.692719,2,1.733149171,Emitter_2
5400,1.650491974,1.876524225,Emitter_2
5408.514092,2,1.937667804,Emitter_2
5400,1.531817917,1.727995719,Emitter_2
5409.640701,1.853985443,1.792763182,Emitter_2
5409.69804,2,1.620297453,Emitter_2
5410,1.856064494,1.925884006,Emitter_2
5400,1.68035224,1.615252703,Emitter_2
5400,1.767471844,2,Emitter_2
5400,1.723502651,1.82910889,Emitter_2
5400,1.660224013,1.683888405,Emitter_2
5409.688457,1.82751798,1.729633636,Emitter_2
5400,1.699209052,1.950472625,Emitter_2
5400,0.469732061,0,Emitter_1
5409.216417,0.618726233,0,Emitter_1
5400.391415,0.17505208,1.628511402,Noise
5400,1.792020338,1.607885516,Emitter_2
5410,2,1.901947377,Emitter_2
5400,1.813475411,1.721817342,Emitter_2
5410,2,1.9865327,Emitter_2
5400,1.770081083,2,Emitter_2
5402.921444,0.24363085,1.498973129,Noise
5400,1.536263785,1.83028782,Emitter_2
5400,1.897977991,1.798369988,Emitter_2
5408.917172,0.295942028,0.146349258,Emitter_1
5400,0,0.15000649,Emitter_1
5400,2,1.673035217,Emitter_2
5404.862926,1.239382748,0.676598812,Noise
5400,1.749763091,2,Emitter_2
5400,1.728558687,2,Emitter_2
5400,1.652518306,1.778301811,Emitter_2
5401.900697,1.627724253,1.84889938,Emitter_2
5401.579647,1.227551851,0.37765426,Noise
5400,0.314390009,0,Emitter_1
5410,1.864752319,1.687219567,Emitter_2
5400,2,1.809058046,Emitter_2
5410,1.865231381,2,Emitter_2
5400,1.996039528,2,Emitter_2
5400,1.869561693,1.81365386,Emitter_2
5402.318811,1.823198768,1.353795557,Emitter_2
5410,1.700581532,1.856974245,Emitter_2
5410,1.628872032,1.897098495,Emitter_2
5400.187977,1.699232169,1.462771302,Emitter_2
5406.196273,1.356918633,1.387447114,Noise
5408.404333,0.762954552,1.266283453,Noise
5400,0.352613168,0,Emitter_1
5407.018702,1.95182963,1.661298547,Emitter_2
5400,0.12502601,0.201861139,Emitter_1
5408.732368,1.175002728,0.098536084,Noise
5400,2,2,Emitter_2
5409.607348,1.477067518,1.284903946,Noise
5400,1.702273907,1.577787757,Emitter_2
5400,1.581394148,1.842166753,Emitter_2
5408.36983,1.990824069,0.834527663,Noise
5403.701477,0.111212552,0,Emitter_1
5407.109598,1.912730016,1.886690945,Emitter_2
5407.43508,0.127115714,0.187050749,Emitter_1
5400,1.569517494,2,Emitter_2
5400,1.731776322,1.953897159,Emitter_2
5400,1.82442486,1.896773519,Emitter_2
5410,1.781810773,1.890647496,Emitter_2
5410,1.886038088,1.813803434,Emitter_2
5401.306646,1.832944782,1.750681297,Emitter_2
5400,1.806613108,1.816782447,Emitter_2
5410,1.601617017,1.614168911,Emitter_2
5404.516266,0.610011009,1.365458063,Noise
5410,0.396393142,0,Emitter_1
5402.938902,1.627867695,1.597396564,Emitter_2
5407.975816,1.59219927,1.471578871,Emitter_2
5407.630473,1.464710072,0.278641697,Noise
5404.317529,1.887950908,1.630048067,Emitter_2
5402.299098,1.63983644,1.811513284,Emitter_2
5400,0.037301498,0,Emitter_1
5400,1.633481447,1.435227848,Emitter_2
5400,2,1.662604392,Emitter_2
5406.238457,1.908543004,1.710433951,Emitter_2
5398.559571,1.79562587,1.899149764,Emitter_2
5400,0.136499977,0,Emitter_1
5410,0.41712871,0.224721329,Emitter_1
5401.779595,1.901189915,1.647266657,Emitter_2
5400,1.770819057,1.559380766,Emitter_2
5400,1.749966697,2,Emitter_2
5409.627319,0.111726509,0.444578434,Noise
5410,1.642135199,1.809254175,Emitter_2
5404.588523,1.919132515,2,Emitter_2
5410,2,2,Emitter_2
5410,1.719742579,1.803240053,Emitter_2
5403.743822,1.990228708,1.846416135,Emitter_2
5407.849089,1.796690104,1.590250796,Emitter_2
5409.447753,1.87253743,1.955710561,Emitter_2
5410,1.593816539,1.563601141,Emitter_2
5410,0.155443962,0.249676374,Emitter_1
5400,1.780212852,1.651058208,Emitter_2
5410,1.33242239,1.838838034,Emitter_2
5408.121064,0.573115508,0,Emitter_1
5400,1.84792102,1.895351121,Emitter_2
5403.064023,1.550062952,1.748086826,Emitter_2
5400,1.739470208,1.565359456,Emitter_2
5410,1.381798317,1.594815708,Emitter_2
5400.248403,0.029229245,0,Emitter_1
5410,2,1.258670804,Emitter_2
5400,0.057220331,0,Emitter_1
5402.508834,1.507646151,1.626293907,Emitter_2
5400,0.1737185,0.237946585,Emitter_1
5409.031113,1.898735638,0.563898035,Noise
5400,1.946563993,2,Emitter_2
5400,0,0.326963474,Emitter_1
5403.937738,1.701561437,2,Emitter_2
5406.703035,0.070399634,0,Emitter_1
5402.608668,2,1.648345808,Emitter_2
5400,0.321024143,0,Emitter_1
5400,1.791676285,2,Emitter_2
5408.801847,0.411453733,0,Emitter_1
5400,2,1.625513909,Emitter_2
5400,2,1.843066338,Emitter_2
5403.153133,0.400524848,1.051938787,Noise
5405.652616,0.77534599,0.610524419,Noise
5404.411656,0.155042369,0.253442101,Emitter_1
5409.787749,1.891200456,1.335462975,Emitter_2
5400,1.565233391,1.861887064,Emitter_2
5401.106596,1.570537928,1.907867822,Emitter_2
5403.955753,1.419932861,0.441244132,Noise
5409.326621,0.042207804,0.225015742,Emitter_1
5407.436773,1.139645281,1.703200542,Noise
5400,1.654070088,2,Emitter_2
5407.00243,1.660298596,2,Emitter_2
5401.701084,1.741087016,1.840969997,Emitter_2
5400.298697,1.975310167,1.643544705,Emitter_2
5400,1.662437071,1.922278519,Emitter_2
5410,0.268021635,0,Emitter_1
5410,1.682475739,2,Emitter_2
5409.7976,1.861975619,1.912354538,Emitter_2
5406.930936,1.611256251,1.691991146,Emitter_2
5410,1.876503446,1.65828024,Emitter_2
5407.413301,1.820570167,1.56133444,Emitter_2
5400,0.156846014,0,Emitter_1
5400.725127,1.712044463,0.113409299,Noise
5400,1.7338091,1.411626399,Emitter_2
5400,1.95096348,1.528078563,Emitter_2
5410,1.798888776,1.79071205,Emitter_2
5400.822685,0.239964619,1.220968638,Noise
5406.350573,1.789598955,1.784619255,Emitter_2
5410,1.820897889,1.953333825,Emitter_2
5400,1.700139404,1.653191873,Emitter_2
5400,0.390815415,0,Emitter_1
5406.297013,1.991574985,0.764811414,Noise
5400,1.709727843,1.886085863,Emitter_2
5409.301603,1.771638126,1.823400735,Emitter_2
5404.061128,0.238492488,0.128976464,Noise
5409.16179,1.231275329,1.161832499,Noise
5405.666325,1.786799017,1.705634478,Emitter_2
5400,1.632667267,1.815276592,Emitter_2
5400,1.963701037,2,Emitter_2
5410,1.674248342,1.943793187,Emitter_2
5400,2,1.726413382,Emitter_2
5410,1.652108645,1.924818047,Emitter_2
5409.970757,1.036222965,0.972125747,Noise
5408.347711,0.451710098,0.192104401,Emitter_1
5410,0.039496035,0,Emitter_1
5400,1.98796585,1.503352449,Emitter_2
5400,1.934347438,1.934512089,Emitter_2
5400,0.313631157,0,Emitter_1
5404.948032,1.775387459,1.909929293,Emitter_2
5402.645775,2,1.655222405,Emitter_2
5410,1.85447947,1.752160085,Emitter_2
5400,2,1.454385602,Emitter_2
5403.780669,1.811178645,1.584383061,Emitter_2
5400,2,1.826113395,Emitter_2
5404.839906,0.134713751,0.948024199,Noise
5404.478712,1.352075196,1.696253064,Emitter_2
5406.201023,1.661072401,1.805383176,Noise
5410,1.80176047,1.775689473,Emitter_2
5410,1.615928894,1.639161167,Emitter_2
5400.495021,1.704979158,1.580878848,Emitter_2
5400,0.060416944,0.162789,Emitter_1
5409.167685,1.040649858,1.239401419,Noise
5409.650345,1.533330188,1.685934943,Emitter_2
5407.872026,0.383915666,0.064706056,Emitter_1
5407.672041,1.969855941,1.900230506,Emitter_2
5400,1.631886347,1.509559311,Emitter_2
5410,1.752615554,1.888659746,Emitter_2
5410,1.807126727,1.648547357,Emitter_2
5400,2,1.888370423,Emitter_2
5410,1.719229639,1.794432819,Emitter_2
5400,0.347193925,0,Emitter_1
5400,2,1.451067269,Emitter_2
5410,1.966335734,1.985643506,Emitter_2
5400,1.903216059,2,Emitter_2
5400,2,1.982245611,Emitter_2
5410,2,1.880320855,Emitter_2
5401.082276,1.341343605,1.102371845,Emitter_2
5403.878282,1.923821929,1.547479215,Emitter_2
5406.802318,1.247499051,0.698964019,Noise
5405.29805,1.88153399,1.602099457,Emitter_2
5400,2,1.808077355,Emitter_2
5407.588414,1.751067901,1.547997233,Emitter_2
5400,2,1.727157536,Emitter_2
5410,1.64598844,1.801009559,Emitter_2
5400.043666,1.758161422,1.815520653,Emitter_2
5403.971212,1.729391496,1.379945593,Emitter_2
5404.140469,0.273086871,0,Emitter_1
5409.193364,1.490022019,1.885556503,Emitter_2
5400,1.837276951,1.622556044,Emitter_2
5399.721356,1.907173916,1.758949606,Emitter_2
5401.135494,2,1.887246535,Emitter_2
5402.022444,0.288263048,0,Emitter_1
5400.388444,1.436498283,2,Emitter_2
5410,0.390853391,0.310147644,Emitter_1
5400,0.296446134,0,Emitter_1
5400,1.901618031,1.463985229,Emitter_2
5400,0,0,Emitter_1
5402.982563,1.745556848,0.37447085,Noise
5403.294069,0.414084651,0,Emitter_1
5409.664109,1.87286263,1.952521155,Emitter_2
5400,1.526339651,1.724122045,Emitter_2
5405.93247,1.652214533,1.93049394,Emitter_2
5403.829678,1.708316103,2,Emitter_2
5401.107612,1.90413809,2,Emitter_2
5400,1.761198779,1.552527647,Emitter_2
5409.335576,1.511842354,1.46934143,Emitter_2
5410,0.128414829,0,Emitter_1
5400,1.733875562,1.742139171,Emitter_2
5405.249696,1.862011956,1.352197578,Emitter_2
5400.102408,0.262097908,0,Emitter_1
5400,2,1.776110629,Emitter_2
5400,2,2,Emitter_2
5410,1.929936654,2,Emitter_2
5406.109642,0.045416035,0.944744451,Noise
5400,0.080719252,0.052478081,Emitter_1
5402.485897,1.530961487,1.783955853,Emitter_2
5410,0.007612452,0.017753447,Emitter_1
5400,0.181462681,0.276612498,Emitter_1
5402.652512,1.804474026,1.877124705,Emitter_2
5410,1.809911217,2,Emitter_2
5410,1.80586846,1.71467952,Emitter_2
5410,1.590520716,1.893644486,Emitter_2
5402.209565,1.701507129,1.565658792,Emitter_2
5400,1.654640494,1.399448408,Emitter_2
5410,0.930028619,0.010527378,Emitter_1
5400,1.60344903,1.33345609,Emitter_2
5401.557166,1.78839526,1.701659211,Emitter_2
5404.050858,2,2,Emitter_2
5402.345926,1.880144255,1.372088631,Noise
5410,1.428945676,1.836567726,Emitter_2
5406.383873,0.466365935,1.628868253,Noise
5400,1.820404506,1.747536617,Emitter_2
5405.920538,0.912057978,1.354559899,Noise
5405.385059,0.486494449,0,Emitter_1
5404.453121,1.736810115,1.668031508,Emitter_2
5400,1.539544456,1.771492286,Emitter_2
5400,1.59037759,1.880935176,Emitter_2
5402.179366,1.520844112,1.979290948,Emitter_2
5400,1.928725682,1.948708623,Emitter_2
5400,0.686563803,0.26648874,Emitter_1
5402.487901,2,1.898335385,Emitter_2
5400,1.559987374,1.743474991,Emitter_2
5404.767376,0.314448181,0,Emitter_1
5400,1.945533559,1.590353097,Emitter_2
5410,1.571525002,1.861301134,Emitter_2
5400,1.475015592,1.582186853,Emitter_2
5400,1.884476743,1.479817569,Emitter_2
5410,0.495635976,0.316723366,Emitter_1
5410,1.871683185,2,Emitter_2
5410,2,1.371622761,Emitter_2
5405.340423,1.032350453,1.314225527,Noise
5401.779103,1.956095118,1.705681236,Emitter_2
5400,1.527380224,1.814174196,Emitter_2
5403.098785,2,1.987012192,Emitter_2
5406.735216,1.864937901,1.761305852,Noise
5400,1.503817475,2,Emitter_2
5408.398514,0.339044101,0,Emitter_1
5401.489477,1.851015229,0.556907827,Noise
5400,1.4671613,1.578629992,Emitter_2
5409.138975,0.190026116,0,Emitter_1
5400,1.445528119,2,Emitter_2
5400,1.793121856,1.834887972,Emitter_2
5410,2,1.590285241,Emitter_2
5404.127449,1.346244907,2,Emitter_2
5400,1.830819102,1.913418357,Emitter_2
5400,2,1.801101456,Emitter_2
5409.776866,0.622095925,1.071790794,Noise
5408.038774,1.641020578,1.772441036,Emitter_2
5410,0.453767824,0,Emitter_1
5400,0.046399471,0.120870151,Emitter_1
5401.936931,1.661802995,1.560395109,Emitter_2
5400,1.302396902,1.94761993,Emitter_2
5410,1.456564995,1.851240175,Emitter_2
5410,1.746875487,1.446231812,Emitter_2
5410,1.881969933,1.763385808,Emitter_2
5402.511569,2,1.769325808,Emitter_2
5402.871179,0.236845086,0,Emitter_1
5404.416091,1.848242028,1.925564394,Emitter_2
5400,1.768288965,1.471768868,Emitter_2
5409.148683,1.130407609,1.743008531,Noise
5409.641812,0.626897986,0.344612481,Noise
5400,1.850970411,1.679745429,Emitter_2
5405.421969,0.357192317,0.766370375,Noise
5400,1.887627992,1.874509173,Emitter_2
5400,0.295051626,0.102065977,Emitter_1
5410,0.103688953,0.059293613,Emitter_1
5400,0.525617499,0.005222277,Emitter_1
5400,1.763355187,1.664271792,Emitter_2
5410,0.460942392,0.222640638,Emitter_1
5400.714695,0.094506436,0,Emitter_1
5405.603063,0,0.17578871,Emitter_1
5403.446042,2,1.577458464,Emitter_2
5406.443884,1.696650089,1.605943854,Emitter_2
5401.789059,1.675936132,1.806082791,Emitter_2
5400,1.805242874,1.302467308,Emitter_2
5400.727627,1.963543105,1.982346309,Emitter_2
5403.559856,2,1.399601738,Emitter_2
5402.959303,1.509721069,1.982634625,Emitter_2
5410,2,1.557192133,Emitter_2
5400,2,1.979486563,Emitter_2
5400,1.8195035,1.904660093,Emitter_2
5405.54249,1.859112058,1.885234332,Emitter_2
5400,1.657272225,1.648116536,Emitter_2
5404.73352,1.578987257,1.324906792,Noise
5410,2,1.456255274,Emitter_2
5400,1.622558983,1.956366828,Emitter_2
5400,2,1.816825915,Emitter_2
5405.955785,1.893131642,2,Emitter_2
5408.726565,1.208956409,0.886547375,Noise
5400,1.971577629,1.916033751,Emitter_2
5400,1.82520737,1.761031128,Emitter_2
5400.452567,1.962895077,1.795278124,Emitter_2
5400,1.883035212,1.901456511,Emitter_2
5401.927602,1.815544679,1.725425066,Emitter_2
5410,1.874051023,1.980723785,Emitter_2
5400,1.809628973,1.612167262,Emitter_2
5400,0.560948064,0,Emitter_1
5408.251931,1.612331148,1.755033242,Emitter_2
5400,2,1.837686493,Emitter_2
5400,1.693590557,2,Emitter_2
5410,1.693382604,1.791113974,Emitter_2
5400,1.940573307,1.570820984,Emitter_2
5406.60043,2,1.662362596,Emitter_2
5408.445362,1.824244046,1.50384796,Emitter_2
5400,1.703746645,1.857772332,Emitter_2
5410,1.393195569,1.634023563,Emitter_2
5401.277177,1.944403464,1.851998171,Emitter_2
5409.325703,1.408427154,1.503551372,Emitter_2
5401.437401,1.872164813,1.744184888,Emitter_2
5400,1.700143448,1.930751146,Emitter_2
5402.760884,1.873857973,2,Emitter_2
5410,0.278017417,0.306520469,Emitter_1
5402.249322,0.451207529,0.123071657,Noise
5404.052356,1.963856966,1.811464072,Emitter_2
5408.638685,0,0,Emitter_1
5410,0.574597616,0.165688039,Emitter_1
5410,1.894465509,1.789804842,Emitter_2
5400,2,1.989704789,Emitter_2
5405.667336,0.376330745,0.041090589,Emitter_1
5400,1.880158597,1.554742918,Emitter_2
5402.335456,1.847583607,1.787870936,Emitter_2
5403.032043,0.302880409,0.217986992,Emitter_1
5400,2,1.769450402,Emitter_2
5400,2,1.897207029,Emitter_2
5406.264884,1.144000895,1.827226225,Noise
5400,1.965390684,1.710021094,Emitter_2
5403.605217,1.292444306,1.895789846,Noise
5410,0.067266934,0.410517151,Emitter_1
5408.088977,1.908085079,1.796898282,Emitter_2
5400,0.512400195,0.032422515,Emitter_1
5409.373731,1.521725558,1.732739858,Noise
5401.986024,0.438228071,1.449306616,Noise
5406.898018,1.584576174,2,Emitter_2
5408.486019,1.175558837,0.422462651,Noise
5410,0.06453444,0.152090378,Emitter_1
5410,1.777004042,2,Emitter_2
5410,1.847482566,1.95467543,Emitter_2
5401.827449,1.916199909,0.89894149,Noise
5410,2,1.863899185,Emitter_2
5404.638096,1.387612361,1.985009679,Emitter_2
5400,0.338709028,0,Emitter_1
5400,1.738868133,1.916952433,Emitter_2
5400,1.959970368,1.86003931,Emitter_2
5402.290882,2,1.588822839,Emitter_2
5410,1.827313815,2,Emitter_2
5400,2,1.438219613,Emitter_2
5403.697137,1.035547185,0.490283206,Noise
5405.775086,1.919283061,2,Emitter_2
5405.330147,0.48334097,-0.040236368,Emitter_1
5404.98928,1.576479642,1.537796334,Noise
5401.503268,0.403993705,1.474517619,Noise
5410,2,1.778448491,Emitter_2
5410,1.613002663,1.642176793,Emitter_2
5410,1.707914227,1.705783648,Emitter_2
5406.54059,1.780408641,1.854248377,Emitter_2
5410,1.894256222,1.742220919,Emitter_2
5410,1.420483176,1.611868448,Emitter_2
5406.447788,1.872646091,1.684209481,Emitter_2
5400,1.675687625,1.820020907,Emitter_2
5403.359733,1.114570074,0.752644978,Noise
5400,0.475468147,0.100266376,Emitter_1
5400,1.678213254,1.907049827,Emitter_2
5399.727303,1.645416262,1.041176142,Emitter_2
5410,1.735306961,1.761575406,Emitter_2
5400,2,1.873145208,Emitter_2
5407.121696,1.893762339,1.921361795,Emitter_2
5400,1.880813919,1.892563232,Emitter_2
5398.863556,1.754491381,2.001769554,Emitter_2
5409.097985,0.105273664,1.728359103,Noise
5410,1.933331581,1.834843466,Emitter_2
5400,0.19927844,0,Emitter_1
5400,0.524124857,0,Emitter_1
5400,1.951152631,1.812953733,Emitter_2
5403.118562,1.893792468,1.504223573,Emitter_2
5405.355084,1.891226993,2,Emitter_2
5404.451696,1.229730106,0.170452976,Noise
5410,1.888851696,1.875856628,Emitter_2
5400,1.949699548,1.920567744,Emitter_2
5400,1.940485286,1.712507852,Emitter_2
5400,1.709299513,1.749678656,Emitter_2
5405.249811,0.198712553,0,Emitter_1
5410.509444,1.662133207,1.743775168,Emitter_2
5405.447664,1.781663898,1.993911561,Emitter_2
5410,0.527293326,0.083809503,Emitter_1
5410,2,1.735756948,Emitter_2
5400,2,2,Emitter_2
5410,1.957918151,1.66838615,Emitter_2
5405.402925,1.051498861,1.766324528,Noise
5400,1.48730901,1.663994937,Emitter_2
5400,1.927111128,1.85409561,Emitter_2
5405.370363,0.294406409,1.585899617,Noise
5400.460085,1.582739898,1.774671989,Emitter_2
5410,0.382112525,0,Emitter_1
5400,0.214558643,0.048866785,Emitter_1
5400,2,1.750538976,Emitter_2
5400,1.886013173,2,Emitter_2
5406.378307,1.976491617,1.916762034,Emitter_2
5404.838735,0.079134256,0.779584195,Noise
5400,1.852619257,1.880183687,Emitter_2
5407.7582,1.326358292,1.770118125,Emitter_2
5410,0.169208532,0,Emitter_1
5409.371204,1.653060178,1.739185123,Emitter_2
5406.851257,0.207980651,0,Emitter_1
5400,1.708846926,1.691092419,Emitter_2
5401.149377,1.428022004,1.025473679,Noise
5401.334249,0,0.058547275,Emitter_1
5400.444696,0.430206427,0,Emitter_1
5410,1.557475614,1.430599136,Emitter_2
5410,1.85909666,1.333858388,Emitter_2
5410,1.92162863,1.938120887,Emitter_2
5410,1.560873425,1.927858113,Emitter_2
5409.945655,1.573672095,1.825087753,Emitter_2
5400,1.534327185,1.718478165,Emitter_2
5400,1.837413598,1.697711147,Emitter_2
5410,1.890976111,1.783641379,Emitter_2
5400.300062,1.18249185,1.330672292,Noise
5400,1.654618358,1.74932206,Emitter_2
5403.528148,1.820113529,1.495846014,Emitter_2
5410,0.364338289,0.158024875,Emitter_1
5410,2,1.757637688,Emitter_2
5403.123025,1.780045192,1.596595518,Emitter_2
5407.489323,1.691183826,1.769373245,Emitter_2
5410,1.808233483,1.728329039,Emitter_2
5400,2,1.673394725,Emitter_2
5400,2,1.795006632,Emitter_2
5400,1.587049983,1.700062532,Emitter_2
5409.145958,0.245133284,0.086476759,Emitter_1
5400.498584,1.982538862,1.470293905,Emitter_2
5402.425802,1.550146542,1.84822338,Emitter_2
5400,1.888334014,1.61805474,Emitter_2
5400,0.529558006,0,Emitter_1
5400,1.510850482,1.98410501,Emitter_2
5407.392533,1.598615632,1.538040391,Emitter_2
5406.369025,1.986187108,1.903367236,Emitter_2
5405.368585,0.734898936,0.462672765,Noise
5400,1.537175035,1.863039819,Emitter_2
5399.825297,1.812379934,1.33201633,Emitter_2
5400,1.778244651,1.681213634,Emitter_2
5400,2,1.549192447,Emitter_2
5410,1.703413643,1.87719775,Emitter_2
5400.961552,1.907375799,1.810774508,Emitter_2
5405.014472,1.553750429,1.476632601,Emitter_2
5408.510047,1.904580438,0.736404852,Noise
5403.292157,1.790391784,1.855910055,Emitter_2
5402.26661,1.91254829,1.685704582,Emitter_2
5405.295778,0.519118417,0.099427628,Noise
5400,1.499895154,1.763597842,Emitter_2
5400,2,1.637563525,Emitter_2
5400,2,1.777910002,Emitter_2
5401.736691,1.909376262,1.866307707,Emitter_2
5400,1.751739883,1.827166487,Emitter_2
5400,0.426067701,0,Emitter_1
5410,1.480405214,1.8291314,Emitter_2
5403.894311,0.777790857,0.11475364,Noise
5408.183934,1.499317992,1.865023295,Emitter_2
5401.128408,1.572723877,1.880584752,Emitter_2
5400.091842,0.179213523,0,Emitter_1
5401.642844,0.508430447,0,Emitter_1
5406.230639,1.082828711,1.473476014,Noise
5403.910486,1.807085738,1.468921064,Noise
5408.727385,1.869798322,1.66329296,Emitter_2
5400,1.769694987,1.923781345,Emitter_2
5402.644179,1.802001908,1.723586098,Emitter_2
5405.640674,1.754653164,0.060239234,Noise
5403.977682,1.539221897,1.760085676,Emitter_2
5405.990841,1.839024061,1.798177567,Emitter_2
5400,0.559227171,0.185841547,Emitter_1
